Date,AALI.JK,BISI.JK,CPIN.JK,JPFA.JK,ICBP.JK,INDF.JK,^JKSE
2023-04-27,6666.17822265625,1441.60888671875,4222.37353515625,922.9053344726562,9285.0146484375,5492.54052734375,6945.47705078125
2023-04-28,6731.53369140625,1441.60888671875,4185.8955078125,905.491943359375,9579.4169921875,5513.912109375,6915.7158203125
2023-05-02,6709.74853515625,1342.927490234375,4222.37353515625,909.8453369140625,9420.8916015625,5556.65576171875,6863.3017578125
2023-05-03,6687.9638671875,1287.15087890625,4331.80908203125,935.9652709960938,9737.94140625,5684.8857421875,6812.72216796875
2023-05-04,6579.03955078125,1317.184326171875,4386.52734375,966.4385375976562,9783.234375,5663.51416015625,6844.02685546875
2023-05-05,6535.46923828125,1355.799072265625,4368.28759765625,944.6719360351562,9851.1728515625,5727.6298828125,6787.630859375
2023-05-08,6622.609375,1308.603515625,4267.97216796875,922.9053344726562,9987.05078125,5877.2314453125,6769.630859375
2023-05-09,6644.39404296875,1312.8939208984375,4267.97216796875,922.9053344726562,9964.4052734375,5834.48828125,6779.97998046875
2023-05-10,6687.9638671875,1312.8939208984375,4267.97216796875,927.2586059570312,9873.8203125,5898.603515625,6811.90478515625
2023-05-11,6644.39404296875,1300.0223388671875,4277.091796875,949.0252685546875,9941.7587890625,5813.11669921875,6755.93798828125
2023-05-12,6622.609375,1334.346435546875,4322.689453125,966.4385375976562,9851.1728515625,5749.001953125,6707.76318359375
2023-05-15,6622.609375,1330.0557861328125,4582.59765625,1023.0317993164062,9964.4052734375,5749.001953125,6711.740234375
2023-05-16,6513.6845703125,1312.8939208984375,4541.56005859375,1014.3250732421875,9964.4052734375,5834.48828125,6676.56396484375
2023-05-17,6426.54443359375,1330.0557861328125,4559.798828125,1023.0317993164062,9964.4052734375,5813.11669921875,6663.11376953125
2023-05-19,6448.32958984375,1321.4749755859375,4532.4404296875,1018.6784057617188,9919.111328125,5941.34716796875,6700.56103515625
2023-05-22,6448.32958984375,1338.636962890625,4628.19677734375,1057.8583984375,9964.4052734375,5898.603515625,6729.64697265625
2023-05-23,6535.46923828125,1351.50830078125,4523.3212890625,1036.091796875,10122.9296875,5941.34716796875,6736.68408203125
2023-05-24,6535.46923828125,1372.9609375,4650.99560546875,1053.505126953125,10145.5751953125,5941.34716796875,6745.80419921875
2023-05-25,6491.900390625,1372.9609375,4650.99560546875,1075.271728515625,10145.5751953125,6069.57763671875,6704.23095703125
2023-05-26,6404.7607421875,1372.9609375,4719.39208984375,1110.0982666015625,10145.5751953125,6155.06494140625,6687.0009765625
2023-05-29,6404.7607421875,1372.9609375,4787.7890625,1101.391845703125,10122.9296875,6155.06494140625,6681.10205078125
2023-05-30,6426.54443359375,1368.67041015625,4523.3212890625,1031.7384033203125,10145.5751953125,6112.32080078125,6636.4228515625
2023-05-31,6143.34130859375,1394.4134521484375,4514.201171875,1040.4451904296875,10598.50390625,6069.57763671875,6633.26123046875
2023-06-05,6143.34130859375,1441.879150390625,4468.60302734375,1027.3851318359375,10462.6259765625,6197.80810546875,6633.43701171875
2023-06-06,6165.12646484375,1441.879150390625,4468.60302734375,1023.0317993164062,10236.1611328125,6304.66650390625,6618.9228515625
2023-06-07,6143.34130859375,1441.879150390625,4541.56005859375,1053.505126953125,10236.1611328125,6368.7822265625,6619.7548828125
2023-06-08,6317.62109375,1450.834716796875,4559.798828125,1049.15185546875,10236.1611328125,6347.41015625,6666.330078125
2023-06-09,6382.974609375,1509.04736328125,4582.59765625,1062.2117919921875,10304.1005859375,6347.41015625,6694.02392578125
2023-06-12,6491.900390625,1482.1800537109375,4650.99560546875,1092.68505859375,10236.1611328125,6368.7822265625,6722.373046875
2023-06-13,6404.7607421875,1486.6578369140625,4582.59765625,1066.5650634765625,10190.869140625,6283.294921875,6719.01416015625
2023-06-14,6426.54443359375,1482.1800537109375,4628.19677734375,1066.5650634765625,10236.1611328125,6347.41015625,6699.716796875
2023-06-15,6513.6845703125,1464.2684326171875,4650.99560546875,1079.6251220703125,10258.80859375,6368.7822265625,6713.794921875
2023-06-16,6600.82421875,1464.2684326171875,4742.19091796875,1079.6251220703125,10145.5751953125,6219.18017578125,6698.546875
2023-06-19,6622.609375,1473.2242431640625,4742.19091796875,1075.271728515625,10190.869140625,6326.03857421875,6686.05908203125
2023-06-20,6579.03955078125,1473.2242431640625,4764.990234375,1066.5650634765625,10145.5751953125,6112.32080078125,6660.455078125
2023-06-21,6622.609375,1415.01171875,4764.990234375,1097.038330078125,10258.80859375,6304.66650390625,6702.625
2023-06-22,6622.609375,1473.2242431640625,4696.59375,1114.45166015625,10122.9296875,6176.4365234375,6652.26123046875
2023-06-23,6579.03955078125,1482.1800537109375,4742.19091796875,1153.6314697265625,10122.9296875,6240.5517578125,6639.73291015625
2023-06-26,6513.6845703125,1482.1800537109375,4764.990234375,1131.864990234375,10258.80859375,6261.92333984375,6664.66796875
2023-06-27,6513.6845703125,1477.7021484375,4810.587890625,1166.6915283203125,10258.80859375,6283.294921875,6661.87890625
2023-07-03,6622.609375,1437.401123046875,4947.3818359375,1205.8714599609375,10485.2705078125,6197.80810546875,6696.7158203125
2023-07-04,6622.609375,1437.401123046875,5015.77978515625,1227.63818359375,10394.6865234375,6304.66650390625,6681.75390625
2023-07-05,6644.39404296875,1423.967529296875,5015.77978515625,1197.1649169921875,10372.0400390625,6347.41015625,6718.97705078125
2023-07-06,6687.9638671875,1423.967529296875,4901.7841796875,1197.1649169921875,10326.7470703125,6368.7822265625,6757.3310546875
